sep=;
FrameUpdate;FrameFixed;timestampStartCycle;timestampStartCycleMillisecond;timestampStartFixed;timestampStartFixedMillisecond;timestampDifference;timestampUnityTime;timestampUnityTimeDifference;timestampEndFixed;timestampEndFixedMillisecond;teleportInfo;Command
92;150;2024-07-10 13:32:37.389;1720618357389;2024-07-10 13:32:37.416;1720618357416;27;2.98;0.01999998;2024-07-10 13:32:37.416;1720618357416;0;
92;151;2024-07-10 13:32:37.416;1720618357416;2024-07-10 13:32:37.417;1720618357417;1;3;0.01999998;2024-07-10 13:32:37.417;1720618357417;0;
93;152;2024-07-10 13:32:37.417;1720618357417;2024-07-10 13:32:37.445;1720618357445;28;3.02;0.01999998;2024-07-10 13:32:37.445;1720618357445;0;
94;153;2024-07-10 13:32:37.445;1720618357445;2024-07-10 13:32:37.485;1720618357485;40;3.04;0.01999998;2024-07-10 13:32:37.485;1720618357485;0;
94;154;2024-07-10 13:32:37.485;1720618357485;2024-07-10 13:32:37.486;1720618357486;1;3.06;0.01999998;2024-07-10 13:32:37.486;1720618357486;0;
95;155;2024-07-10 13:32:37.486;1720618357486;2024-07-10 13:32:37.513;1720618357513;27;3.08;0.01999998;2024-07-10 13:32:37.513;1720618357513;0;
95;156;2024-07-10 13:32:37.513;1720618357513;2024-07-10 13:32:37.514;1720618357514;1;3.1;0.01999998;2024-07-10 13:32:37.514;1720618357514;0;
96;157;2024-07-10 13:32:37.514;1720618357514;2024-07-10 13:32:37.541;1720618357541;27;3.12;0.01999998;2024-07-10 13:32:37.541;1720618357541;0;
97;158;2024-07-10 13:32:37.541;1720618357541;2024-07-10 13:32:37.568;1720618357568;27;3.14;0.01999998;2024-07-10 13:32:37.568;1720618357568;0;
97;159;2024-07-10 13:32:37.568;1720618357568;2024-07-10 13:32:37.569;1720618357569;1;3.16;0.01999998;2024-07-10 13:32:37.569;1720618357569;0;
98;160;2024-07-10 13:32:37.569;1720618357569;2024-07-10 13:32:37.609;1720618357610;40;3.18;0.01999998;2024-07-10 13:32:37.610;1720618357609;0;
